Artist	Songname	Album	EmbUrl
Beyoncé	Love On Top	4	https://open.spotify.com/track/1z6WtY7X4HQJvzxC4UgkSf
Beyoncé	Party (feat. André 3000)	4	https://open.spotify.com/track/42qh86p7TLXyumxSHn65kc
Beyoncé	Schoolin' Life	4	https://open.spotify.com/track/6JoIs4XLvBgjZOkKnyuPPv
Beyoncé	Countdown	4	https://open.spotify.com/track/3axkNosdVQLZiq1HakuGhc
Beyoncé	I Miss You	4	https://open.spotify.com/track/6Vv9wMxIc6OKRluQefy441
Beyoncé	Dance for You	4	https://open.spotify.com/track/7cvkXf3AwPGT041PyOi5VX
Beyoncé	I Care	4	https://open.spotify.com/track/76KTeba6u3LfBL4EsCZaTe
Beyoncé	Rather Die Young	4	https://open.spotify.com/track/7msV2z3y899aSVTithAkFn
Beyoncé	1+1	4	https://open.spotify.com/track/1pzJboOZaDNwshBnOlNh3a
Beyoncé	End of Time	4	https://open.spotify.com/track/3FPUFltTjg6ClUL2wr9ux6
Beyoncé	Run the World (Girls)	4	https://open.spotify.com/track/1uXbwHHfgsXcUKfSZw5ZJ0
Beyoncé	Best Thing I Never Had	4	https://open.spotify.com/track/3lBRNqXjPp2j3JMTCXDTNO
Beyoncé	Start Over	4	https://open.spotify.com/track/6QFgpUiLoXlmYDjbe0tjyP
Beyoncé	I Was Here	4	https://open.spotify.com/track/64Tp4KN5U5rtqrasP5a7FH
Orlande de Lassus	Laudate Dominum omnes gentes à 12	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/4XOSsCo6z1u6yJCuf6uOOB
Orlande de Lassus	Bone Jesu verbum Patris à 8	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/30nrPro1LcwIuziStBy9tV
Orlande de Lassus	Ad Dominum cum tribularer à 6	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/16ZEOjowfKdIvGoX1yf4VT
Orlande de Lassus	Te Deum laudamus à 6	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/7Aap3GXbDUUX3lsh2BpqHr
Orlande de Lassus	Dixit Martha ad Jesum à 9	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/2OJzMHyFuZbraIlk78nPNB
Orlande de Lassus	Mira loquor sed digna fide à 10	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/3XShcJL86zuNttLtt0UisB
Orlande de Lassus	Domine Dominus noster à 6	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/43xFq2kjnqQRGO1LyN1c3F
Orlande de Lassus	Alma redemptoris mater à 8	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/3NymZjOkZFwqVuqFTD7iGv
Orlande de Lassus	Beatus Nicolaus à 8	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/4VXrl7NLaz3XdNLIOXpdoL
Orlande de Lassus	Omnia tempus habent à 8	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/2fCuEo1M1q0SqzBGt3PO8w
Orlande de Lassus	Laudate Dominum quoniam bonus est à 7	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/1hEmZaysfmGN4RwW4pgrqJ
Orlande de Lassus	Musica Dei donum optimi à 6	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/2dniPmsCxFkijJXR3Qnpwr
Orlande de Lassus	Aurora lucis rutilat à 10	Orlando di Lasso: Laudate Dominum	https://open.spotify.com/track/7kTip3cN8BBMWyu0pYlO7c
Richard Wagner	Lohengrin: Prelude	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/2x6mect1PKsrxXmsg2O23B
Richard Wagner	Götterdämmerung, WWV 86D, Act III: Siegfrieds Trauermarsch	Wagner: Götterdämmerung, WWV 86D	https://open.spotify.com/track/6JmduA0I9QYtD1RiHQgWjj
Richard Wagner	Siegfried, WWV 86C, Act III: Siegfried! Siegfried! Seliger Held!	Wagner: Siegfried, WWV 86C	https://open.spotify.com/track/3Qi23PJACRZ8zv6G8IvBGS
Richard Wagner	Siegfried Idyll, WWV 103	Wagner: Concert Overtures	https://open.spotify.com/track/2Pv8x9h2XxsMtnOsLxwHG9
Richard Wagner	Parsifal: Act III: Good Friday Spell	Wagner: Orchestral Excerpts, Vol. 2	https://open.spotify.com/track/7rarGAvKNJNzy4ryR2oro5
Richard Wagner	Götterdämmerung, WWV 86D, Prologue: Vorspiel	Wagner: Götterdämmerung, WWV 86D	https://open.spotify.com/track/4TYGGH9PYjjyNI5CzK2u44
Richard Wagner	Tannhauser: Overture	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/3unWPBGwz2TRj5y3AnBSG4
Richard Wagner	The Flying Dutchman: Ouverture	Wagner, R.: Fliegende Holländer (Der)	https://open.spotify.com/track/2IKELoWcXtdUEVRCAuNjEP
Richard Wagner	Götterdämmerung, WWV 86D, Act III: Vorspiel	Wagner: Götterdämmerung, WWV 86D	https://open.spotify.com/track/0Pe9MWkG9q4mDeWAI77JlE
Richard Wagner	Symphony in C Major: II. Andante ma non troppo, un poco maestoso	Wagner: Symphony in C Major, Tristan und Isolde, Siegfried Idyll	https://open.spotify.com/track/63LuatqjEm6RW3i469H4W0
Richard Wagner	Die Meistersinger von Nürnberg, Act 2, Scene 1: Johannistag! Hohannistag!	Wagner: Die Meistersinger	https://open.spotify.com/track/57ZtBjJAy0KQ2Zw2YykA70
Richard Wagner	Lohengrin, Act III: Prelude	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/2H4ebPbSQ1NqOYOUU5D2VM
Richard Wagner	Das Rheingold, WWV 86A, Scene 4: Abendlich strahlt der Sonne Auge (Live)	Wagner: Das Rheingold, WWV 86A	https://open.spotify.com/track/2eRxuKaWG2FJy6Q5FuquT2
Richard Wagner	Siegfried, WWV 86C, Act III: Ewig war ich, ewig bin ich	Wagner: Siegfried, WWV 86C	https://open.spotify.com/track/55kKLI0NFSkjHoDKftn1vd
Richard Wagner	Die Meistersinger von Nürnberg, Act 3: Prelude (Orchester)	Wagner: Die Meistersinger	https://open.spotify.com/track/2pQdZKD3zuOfQKRYjMFjf3
Richard Wagner	Siegfried, WWV 86C, Act II: Prelude	Wagner: Siegfried, WWV 86C	https://open.spotify.com/track/5mGFLrN7GuOwuXejBnZBr2
Richard Wagner	Tannhauser, Introduction to Act III: Tannhauser's Pilgrimage	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/0AtB50yvbfslJAoMzRvbEq
Richard Wagner	Lohengrin: Treulich gefuhrt ziehet dahin	Wagner, R.: Scenes From Lohengrin and Siegfried	https://open.spotify.com/track/77Vw9pWmr1T9V9cs1RuU6l
Richard Wagner	Parsifal: Parsifal, Act I: The Journey to Montsalvat (The Castle of the Guardians of the Grail)	Wagner, R.: Opera Choruses	https://open.spotify.com/track/0TJng3UXAI0u7eyiD201eg
Richard Wagner	Parsifal: Prelude to Act I	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/3M7eO8yERmLBSnTpg3p3RV
Richard Wagner	Die Meistersinger von Nürnberg (The Mastersingers of Nuremberg): The Mastersingers of Nuremberg, Act III: Finale (excerpts)	Wagner, R.: Opera Choruses	https://open.spotify.com/track/0QDND4ABikAWZFfiepCYrP
Richard Wagner	Die Meistersinger von Nürnberg, WWV 96: Overture	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/41bZLobGbA6vSSrVFLAEui
Richard Wagner	Siegfried, WWV 86C, Act I: Prelude	Wagner: Siegfried, WWV 86C	https://open.spotify.com/track/7yYMZNTvsJnFLjij7uc8GN
Richard Wagner	Tannhauser, Act II: Entrance of the Guests	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/49AlzX6xEt4s9NSS9jrjd9
Richard Wagner	Symphony in C Major: I. Sostenuto e maestoso	Wagner: Symphony in C Major, Tristan und Isolde, Siegfried Idyll	https://open.spotify.com/track/4TjyDeIoLr6HmzdrMBSXow
Richard Wagner	Götterdämmerung, WWV 86D, Prologue: Siegfrieds Rheinfahrt	Wagner: Götterdämmerung, WWV 86D	https://open.spotify.com/track/5loYnrcJ1XTIbs0MXKntlr
Richard Wagner	Die Meistersinger von Nürnberg, Act 1, Scene 2: Der Meister Tön' und Weisen	Wagner: Die Meistersinger	https://open.spotify.com/track/3Ok9NLhvrbvWouDJxDcc1t
Richard Wagner	"Die Walküre: Act II, Scene I, ""Deiner ew’gen Gattin"" (Fricka)"	Wagner: Die Walküre	https://open.spotify.com/track/74BUb8MznOM8EvmdA4GjVM
Richard Wagner	"Parsifal, WWV 111: Act I, Scene I, ""He! Ho! Waldhueter ihr!"""	Wagner: Parsifal	https://open.spotify.com/track/5vE0qrqpaO5cEa97CBBFCi
Richard Wagner	"Wagner : Die Walküre : Act 1 ""Winterstürme wichen dem Wonnemond"" [Siegmund]"	Wagner : Die Walküre [Bayreuth, 1991]	https://open.spotify.com/track/7BpJ4Nw58bkmf2awhplYyM
Richard Wagner	"Parsifal, WWV 111: Act III, Scene XI, ""Hoechsten Heiles Wunder!"""	Wagner: Parsifal	https://open.spotify.com/track/3Ug2qU2ZfQWZpsSK6wQSXj
Richard Wagner	Tannhauser: Venusberg Music	Wagner, R.: Orchestral Highlights From Operas	https://open.spotify.com/track/6yMaPPKnArGWWMhD9w2VrZ
Richard Wagner	"Wagner: Tristan und Isolde, Act 2: ""Einsam wachend in der Nacht"" (Brangäne)"	Wagner : Tristan und Isolde	https://open.spotify.com/track/7hVykp1rVnRwGrjJkURE3q
Richard Wagner	"Die Meistersinger von Nürnberg, Act 3, Scene 2: ""Abendlich glühend in himmlischer Pracht"""	Wagner: Die Meistersinger	https://open.spotify.com/track/4gwww7tibGdSESNCMtB30R
Richard Wagner	Tristan und Isolde, WWV 90: Act I Scene 3: O Wunder! Wo hatt' ich die Augen? (Brangane, Tristan)	Wagner, R.: Tristan Und Isolde	https://open.spotify.com/track/4cgx0zIWlLYXCXphMlFEzG
Richard Wagner	Eine Faust-Ouvertüre	Wagner: Overtures - Marches - Symphony in E - Siegfried Idyll	https://open.spotify.com/track/26zgOGJ3HqyB7klpPGE4kb
Giovanni Pierluigi da Palestrina	Missa Papae Marcelli: Kyrie	Palestrina: Missa Papae Marcelli	https://open.spotify.com/track/46JsxiI6tGMzipdW6CY40H
Giovanni Pierluigi da Palestrina	Palestrina: Missa Brevis - 13. Agnus Dei 2	The Tallis Scholars Sing Palestrina	https://open.spotify.com/track/7zurR7oUDbuqPDdA7cYNwV
Giovanni Pierluigi da Palestrina	Palestrina: Sicut Lilium Inter Spinas	Renaissance Radio	https://open.spotify.com/track/45gZHttLcyRctUHnwUt58n
Giovanni Pierluigi da Palestrina	Ricercar del primo tuono	Fugue Around The Clock	https://open.spotify.com/track/2cU4z0EX93ULyROhYoPo0E
Giovanni Pierluigi da Palestrina	Osculetur me	Song of Songs	https://open.spotify.com/track/1JwQIEJfgXOcseip08iP4J
Giovanni Pierluigi da Palestrina	Tu es Petrus a 6	Roma æterna	https://open.spotify.com/track/6IqYpSQ1Qu4DxZMluiMWqJ
Giovanni Pierluigi da Palestrina	Palestrina : Motets, Book 4, 'Canticum canticorum' : Nigra sum, sed formosa	Palestrina : Missa pro defunctis & Motets	https://open.spotify.com/track/0zB14lmO1JlqpRo25Cx618
Giovanni Pierluigi da Palestrina	"Motets for 5-8 Voices: Book 4 for 5 Voices, ""Canticis canticorum"": No. 22. Pulchra es, amica mea (arr. for chamber ensemble): Pulchra es amica mea"	Renaissance and Baroque Music - Monteverdi, C.   Palestrina, G.P. Da	https://open.spotify.com/track/5jHNZUW4Sih4Ddm9LCeqBe
Giovanni Pierluigi da Palestrina	Salve Regina	How Fair Thou Art: Biblical Passions by Giovanni Pierluigi da Palestrina	https://open.spotify.com/track/3k59adJfxN393LnYUX4Fwe
Giovanni Pierluigi da Palestrina	Palestrina: Canticum Canticorum (Motets, Book 4): No. 2, Trahe me, post te	Palestrina: Canticum Canticorum	https://open.spotify.com/track/02yRH9pSikUOws7Yu5gIgb
Giovanni Pierluigi da Palestrina	Sicut cervus	Like as the Hart	https://open.spotify.com/track/6xzg8scb8U1jkvDFWUscPU
Giovanni Pierluigi da Palestrina	Assumpta Est Maria a 6	Music from the Sistine Chapel	https://open.spotify.com/track/2x15yaLETxKNCVQRMkuBY4
Giovanni Pierluigi da Palestrina	Missa Viri Galilaei: Missa Viri Galilaei: Agnus Dei	Early Music Masterpieces	https://open.spotify.com/track/2eyNi2CJWXRCpRRidyGrVp
Giovanni Pierluigi da Palestrina	Palestrina: Alma redemptoris	Nativitas	https://open.spotify.com/track/4oNGU7zMvvsdTA2rZh4Rdh
Giovanni Pierluigi da Palestrina	Masses, Book 11, Missa Quando lieta sperai: Gloria In Excelsis Deo	Palestrina: Miss ex cipriano de rore	https://open.spotify.com/track/6PdWRjhozxY8EjmWtlq7q7
Giovanni Pierluigi da Palestrina	"Motets for 5-8 Voices: Book 4 for 5 Voices, ""Canticis Canticorum"" *: Antiphon: Oleum effusum - Ecce tu pulcher es"	Palestrina: Cantica Salomonis	https://open.spotify.com/track/59X24Sm9QkHyguSvhSNq3d
Giovanni Pierluigi da Palestrina	Madrigals, Book 1 (Il primo libro di madrigali): Deh, or foss'io col vago della luna	Palestrina: Il primo libro de Madrigali a qauttro voci	https://open.spotify.com/track/70klAeiBjlOkxppeFHEQU5
Giovanni Pierluigi da Palestrina	Sacred Madrigals, Book 2 (Delle madrigali spirituali libro secondo): Figlio immortal	Palestrina, G.P.: Delle Madrigali Spirituali Libro Secondo	https://open.spotify.com/track/4f5gzHYxYFIF1GGwp3sybi
Giovanni Pierluigi da Palestrina	Magnificat primi toni	A Choral Tapestry	https://open.spotify.com/track/7kv2w33T09kMriN59GUqvl
Giovanni Pierluigi da Palestrina	Missa sine nomine a 6: Credo	Palestrina: Missa Sine Nomine   Missa L'Homme Arme   Motets	https://open.spotify.com/track/4sG6jZziKBvvkxIFwgrvE2
Giovanni Pierluigi da Palestrina	Lamentations, Book 3: Manum suam misit hostis	Vocal Music (Renaissance) - Victoria, T.L. De   Gesualdo, C.   White, R.   Palestrina, G.P. Da (Lamentations)	https://open.spotify.com/track/0dbVvN3CkarvnFxf178ilE
Giovanni Pierluigi da Palestrina	Motets for 5-8 Voices: Book 1 for 5-7 Voices: Quem vidistis pastores (secunda pars)	Palestrina, G.P. Da: Choral Music (O Magnum Mysterium)	https://open.spotify.com/track/5YI1RrgWkCu9SGRhCpDdBu
