Komponist;Name;Satz;Tonart;Bezeichnung;Entstehungsjahr;Aufführungsdauer(Sinfonie);Taktart;Anzahl Takte;Violine;Viola;Cello;Kontrabass;Querflöte;Klarinette;Oboe;Fagott;Pauke;Trompete;Horn;Posaune;Tuba;Cembalo;Schlagwerk
Mozart;Sinfonie 4;1;D-Dur;Allegro;1765;;2/4;78;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 4;2;G-Dur;Andante;1765;;4/4;45;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 4;3;D-Dur;Presto;1765;;6/8;106;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 22;1;C-Dur;Allegro Assai;1773;8-9;4/4;135;2;1;1;1;;;2;1;;1;2;;;1;
Mozart;Sinfonie 22;2;F-Dur;Andante Grazioso;1773;8-9;2/4;70;2;1;1;1;;;2;1;;1;2;;;1;
Mozart;Sinfonie 22;3;C-Dur;Presto Assai;1773;8-9;6/8;116;2;1;1;1;;;2;1;;1;2;;;1;
Mozart;Sinfonie 25;1;g-Moll;Allegro con brio;1773;25-30;4/4;214;2;1;1;1;;;2;1;;;4;;;1;
Mozart;Sinfonie 25;2;Es-Dur;Andante;1773;25-30;2/4;72;2;1;1;1;;;2;1;;;4;;;1;
Mozart;Sinfonie 25;3;g-Moll;Menuetto;1773;25-30;3/4;51;2;1;1;1;;;2;1;;;4;;;1;
Mozart;Sinfonie 25;4;g-Moll;Allegro;1773;25-30;2/2;194;2;1;1;1;;;2;1;;;4;;;1;
Mozart;Sinfonie 28;1;C-Dur;Allegro spirituoso;1773;25;3/4;173;2;1;1;1;;;2;1;1;2;2;;;1;
Mozart;Sinfonie 28;2;F-Dur;Andante;1773;25;2/4;91;2;1;1;1;;;2;1;1;2;2;;;1;
Mozart;Sinfonie 28;3;C-Dur;Menuetto Allegro;1773;25;3/4;62;2;1;1;1;;;2;1;1;2;2;;;1;
Mozart;Sinfonie 28;4;C-Dur;Presto;1773;25;2/2;190;2;1;1;1;;;2;1;1;2;2;;;1;
Mozart;Sinfonie 29;1;A-Dur;Allegro moderato;1774;25-30;4/4;206;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 29;2;D-Dur;Andante;1774;25-30;2/4;109;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 29;3;A-Dur;Menuetto;1774;25-30;3/4;54;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 29;4;A-Dur;Allegro con spirito;1774;25-30;6/8;187;2;1;1;1;;;2;1;;;2;;;1;
Mozart;Sinfonie 30;1;D-Dur;Molto Allegro;1774;22;3/4;207;2;1;1;1;;;2;1;;2;2;;;1;
Mozart;Sinfonie 30;2;A-Dur;Andantino con moto;1774;22;2/4;74;2;1;1;1;;;2;1;;2;2;;;1;
Mozart;Sinfonie 30;3;D-dur;Menuetto;1774;22;3/4;60;2;1;1;1;;;2;1;;2;2;;;1;
Mozart;Sinfonie 30;4;D-Dur;Presto;1774;22;2/4;219;2;1;1;1;;;2;1;;2;2;;;1;
Mozart;Sinfonie 36;1;C-Dur;Adagio - Allegro spiritoso;1783;32;diverse;287;2;2;1;1;;;2;2;1;;2;;;1;
Mozart;Sinfonie 36;2;F-Dur;Andante;1783;32;6/8;104;2;2;1;1;;;2;2;1;;2;;;1;
Mozart;Sinfonie 36;3;C-Dur;Menuetto;1783;32;3/4;56;2;2;1;1;;;2;2;1;;2;;;1;
Mozart;Sinfonie 36;4;C-Dur;Presto;1783;32;2/4;416;2;2;1;1;;;2;2;1;;2;;;1;
Mozart;Sinfonie 39;1;Es-Dur;Adagio - Allegro;1788;30;diverse;309;2;1;1;1;1;2;;2;1;2;2;;;1;
Mozart;Sinfonie 39;2;As-Dur;Andante con moto;1788;30;2/4;161;2;1;1;1;1;2;;2;1;2;2;;;1;
Mozart;Sinfonie 39;3;Es-Dur;Menuetto Allegro;1788;30;3/4;68;2;1;1;1;1;2;;2;1;2;2;;;1;
Mozart;Sinfonie 39;4;Es-Dur;Finae Allegro;1788;30;2/4;264;2;1;1;1;1;2;;2;1;2;2;;;1;
Mozart;Sinfonie 41;1;C-Dur;Allegro vivace;1788;30-35;4/4;313;2;1;1;1;1;;2;2;1;2;2;;;1;
Mozart;Sinfonie 41;2;F-Dur;Andante cantabile;1788;30-35;3/4;101;2;1;1;1;1;;2;2;1;2;2;;;1;
Mozart;Sinfonie 41;3;C-Dur;Menuetto Allegro;1788;30-35;3/4;87;2;1;1;1;1;;2;2;1;2;2;;;1;
Mozart;Sinfonie 41;4;C-Dur;Molto allegro;1788;30-35;2/2;423;2;1;1;1;1;;2;2;1;2;2;;;1;
Haydn;Sinfonie 55;1;Es-Dur;Allegro di molto;1774;20-25;3/4;216;2;1;1;1;;;2;1;;;2;;;1;
Haydn;Sinfonie 55;2;B-Dur;Adagio;1774;20-25;2/4;128;2;1;1;1;;;2;1;;;2;;;1;
Haydn;Sinfonie 55;3;Es-Dur;Menuetto;1774;20-25;3/4;72;2;1;1;1;;;2;1;;;2;;;1;
Haydn;Sinfonie 55;4;Es-Dur;Finale Presto;1774;20-25;2/4;179;2;1;1;1;;;2;1;;;2;;;1;
Haydn;Sinfonie 76;1;Es-Dur;Allegro;1782;22;3/4;189;2;1;1;1;1;;2;2;;;2;;;;
Haydn;Sinfonie 76;2;B-Dur;Adagio;1782;22;2/4;132;2;1;1;1;1;;2;2;;;2;;;;
Haydn;Sinfonie 76;3;Es-Dur;Menuet Allegro;1782;22;3/4;50;2;1;1;1;1;;2;2;;;2;;;;
Haydn;Sinfonie 76;4;Es-Dur;Finale Allegro;1782;22;2/2;161;2;1;1;1;1;;2;2;;;2;;;;
Haydn;Sinfonie 94;1;G-Dur;Adagio cantabile;1791;25;diverse;257;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 94;2;C-Dur;Andante;1791;25;2/4;156;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 94;3;G-Dur;Menuetto Allegro molto;1791;25;3/4;89;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 94;4;G-Dur;Finale Allegro di molto;1791;25;2/4;268;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 96;1;D-Dur;Adagio Allegro;1791;25;diverse;203;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 96;2;G-Dur;Andante;1791;25;6/8;89;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 96;3;D-Dur;Menuet Allegretto;1791;25;3/4;84;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 96;4;D-Dur;Finale Vivace;1791;25;2/4;239;2;1;1;1;2;;2;2;1;2;2;;;1;
Haydn;Sinfonie 101;1;d-Moll;Adagio - Presto;1794;25-30;diverse;346;2;1;1;1;2;2;2;2;;2;2;;;1;
Haydn;Sinfonie 101;2;G-Dur;Andante;1794;25-30;2/4;150;2;1;1;1;2;2;2;2;;2;2;;;1;
Haydn;Sinfonie 101;3;D-Dur;Menuetto Allegretto;1794;25-30;3/4;160;2;1;1;1;2;2;2;2;;2;2;;;1;
Haydn;Sinfonie 101;4;D-Dur;Finale Vivace;1794;25-30;2/2;280;2;1;1;1;2;2;2;2;;2;2;;;1;
Haydn;Sonfonie 104;1;d-Moll / D-Dur;Adagio - Allegro;1795;25-30;4/4;294;2;1;1;1;2;2;2;2;1;2;2;;;1;
Haydn;Sonfonie 104;2;G-Dur;Andante;1795;25-30;2/4;152;2;1;1;1;2;2;2;2;1;2;2;;;1;
Haydn;Sonfonie 104;3;D-Dur;Menuetto Allegro;1795;25-30;3/4;104;2;1;1;1;2;2;2;2;1;2;2;;;1;
Haydn;Sonfonie 104;4;D-Dur;Finale Spiritoso;1795;25-30;2/2;334;2;1;1;1;2;2;2;2;1;2;2;;;1;
Mendelssohn;Sinfonie 3;1;a-Moll;Andante con moto;1842;40;3/4;512;2;1;1;1;2;2;2;2;1;2;4;;;;
Mendelssohn;Sinfonie 3;2;diverse;Allegro un poco agitato;1842;40;2/4;273;2;1;1;1;2;2;2;2;1;2;4;;;;
Mendelssohn;Sinfonie 3;3;diverse;Adagio;1842;40;2/4;150;2;1;1;1;2;2;2;2;1;2;4;;;;
Mendelssohn;Sinfonie 3;4;divese;Allegro vivacissimo – Allegro maestoso assai;1842;40;diverse;490;2;1;1;1;2;2;2;2;1;2;4;;;;
Mendelssohn;Sinfonie 4;1;A-Dur;Allegro Vivace;1833;28;6/8;;2;1;1;1;2;2;2;2;1;2;2;;;;
Mendelssohn;Sinfonie 4;2;d-Moll;Andante con moto;1833;28;4/4;;2;1;1;1;2;2;2;2;1;2;2;;;;
Mendelssohn;Sinfonie 4;4;diverse;Saltarello Presto;1833;28;4/4;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 1;1;C-Dur;Adagio molto - Allegro con Brio;1800;27;diverse;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 1;2;F-Dur;Andante cantabile con moto;1800;27;3/8;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 1;3;C-Dur;Menuetto;1800;27;3/4;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 1;3;C-Dur;Adagio;1800;27;2/4;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 2;1;D-Dur;Adagio molto – Allegro con brio;1802;35;diverse;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 2;2;A-Dur;Larghetto;1802;35;3/8;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 2;3;D-Dur;Scherzo. Allegro;1802;35;3/4;;2;1;1;1;2;2;2;2;1;2;2;;;;
Beethoven;Sinfonie 2;4;D-Dur;Allegro molto;1802;35;4/4;250;2;1;1;1;2;2;2;2;1;2;2;;;;
